#note_time|3.13
#song_time|0
#song_bpms|0081
0000|001|dummy
0000|002|dummy
0000|004|dummy
1000|016
0200|016
0030|016
0004|005
1000|016
0004|005
0200|016
0030|003
1000|016
0200|016
0030|016
1004|008
1004|008
1004|008
1004|008
1004|004
0000|008|dummy
1000|016
0200|016
0030|004
0004|006
1000|016
0200|016
0030|005
0004|006
1000|016
0004|016
0200|008
1000|016
0004|016
0030|008
1000|016
0004|016
0200|004
0000|016|dummy
1000|016
0200|016
0030|016
0004|005
1000|016
0004|005
0200|016
0030|003
1000|016
0200|016
0030|016
1004|008
1004|008
1004|008
1004|008
1004|004
0000|008|dummy
1000|016
0200|016
0030|004
0004|006
1000|016
0200|016
0030|005
0004|006
1000|016
0004|016
0200|008
1000|016
0004|016
0030|008
1000|016
0004|016
0200|004
0000|016|dummy
1000|016
0200|016
0030|012|hard
1000|016
0004|016
0200|016
0004|016
1000|016
0004|016
0200|016
0004|016
0004|016
1000|016
0030|016
1000|016
0004|016
1000|016
0030|016
1000|016
1000|016
0004|016
0200|016
0004|016
1000|016
0004|016
0200|016
0004|016
0004|016
1000|016
0030|016
1000|016
0004|016
1000|016
0030|016
1000|016
1000|016
0004|016
0200|016
0004|016
1004|008
1004|008
1000|016
0004|016
0200|016
0004|016
0004|016
1000|016
0030|016
1000|016
0004|016
1000|016
0030|016
1000|016
0004|008
1004|016
1004|016
0200|005
0030|016
0200|016
0030|016
0200|016
0030|016
1000|005
1000|016
1000|016
0004|016
0200|016
0004|016
1000|016
0004|016
0200|016
0004|016
0004|016
1000|016
0030|016
1000|016
0004|005
0004|016
0004|016
1000|016
0030|016
1000|016
0004|016
1000|016
0030|016
1000|016
1000|016
0004|016
0200|016
0004|016
1000|005
1000|016
1000|016
0004|016
0200|016
0004|016
1000|016
0004|016
0200|016
0004|016
0004|016
1000|016
0030|016
1000|016
1000|005
1000|016
0200|008
0030|016
0004|016
0000|004|dummy
0000|004|dummy
0000|016|dummy
0004|008
0030|008
0200|008
1000|008
0004|008
0030|008
0200|008
1000|008
1000|008
0200|008
0030|008
0004|008
1000|008
0200|008
0030|008
0004|008
0004|008
0030|008
0200|008
1000|008
0004|008
0030|008
0200|008
1000|008
1000|008
0200|008
0030|008
0004|002
0000|008|dummy
0000|016|dummy
1004|008
1004|008
1004|016
1000|016|||||
0200|016
0030|016
0004|005
1000|016
0004|005
0200|016
0030|003
1000|016
0200|016
0030|016
1004|008
1004|008
1004|008
1004|008
1004|004
0000|008|dummy
1000|016
0200|016
0030|004
0004|006
1000|016
0200|016
0030|005
0004|006
1000|016
0004|016
0200|008
1000|016
0004|016
0030|008
1000|016
0004|016
0200|016
0000|004|dummy
1000|016|||||
0200|016
0030|016
0004|005
1000|016
0004|005
0200|016
0030|003
1000|016
0200|016
0030|016
1004|008
1004|008
1004|008
1004|008
1004|004
0000|008|dummy
1000|016
0200|016
0030|004
0004|006
1000|016
0200|016
0030|005
0004|006
1000|016
0004|016
0200|008
1000|016
0004|016
0030|008
1000|016
0004|016
0200|008
0000|004|dummy
1000|016||||
0200|016
0030|004
0004|006
1000|016
0200|016
0030|005
0004|006
1000|016
0004|016
0200|008
1000|016
0004|016
0030|008
1000|016
0004|016
0200|004
end
